"","ID","Lat","Lon","sum_62","sum_63","sum_64","prec_GLF","prec_CHB"
"1",1,46.4496,10.5983,831.400009155273,796.600006103516,751.000005722046,2379.00002098083,75
"2",2,46.39332,10.21615,635.899993896484,617.399993896484,586.699995040894,1839.99998283386,68.9000015258789
"3",3,46.416978,9.93298701,725.100009918213,697.100009918213,668.400008201599,2090.60002803802,89.3000030517578
"4",4,46.323,9.7,841,810.599998474121,770.999998092651,2422.59999656677,95.1999969482422
"5",5,46.58445999,8.389813006,947.700002670288,883.599996566772,834.89999961853,2666.19999885559,108.5
"6",6,46.442188,8.084819019,896.800004959106,850.000001907349,796.800003051758,2543.60000991821,114.400001525879
"7",7,46.27599598,9.780175025,780.199995040894,757.39999961853,719.599998474121,2257.19999313354,93.3000030517578
"8",8,46.40708802,9.959127987,819.799995422363,787.599994659424,746.799993515015,2354.1999835968,82.5999984741211
"9",9,46.39767,10.58773,783.100006103516,753.100006103516,709.200006484985,2245.40001869202,71.6999969482422
"10",10,46.51518398,10.46158503,676.899988174438,646.899988174438,616.599989891052,1940.39996623993,70.0999984741211
"11",11,46.4578687,7.9321592,669.099996566772,628.399991989136,585.199993133545,1882.69998168945,72
"12",12,46.08850001,7.588840015,768.999998092651,747.200002670288,685.799999237061,2202,87
"13",13,46.53594201,8.222923027,915.400001525879,861.900001525879,810.39999961853,2587.70000267029,113.300003051758
"14",14,46.00085003,7.470122008,1107.00001907349,1083.00001144409,990.300012588501,3180.30004310608,125.099998474121
"15",15,46.91909499,10.89569503,1039.79999732971,978.599996566772,941.199995040894,2959.59998893738,113.900001525879
"16",16,46.02839,7.57203,696.999990463257,682.099988937378,624.199992179871,2003.29997158051,77.9000015258789
"17",17,44.94605,6.39685,1128.79999923706,1156.39999771118,1030.70000076294,3315.89999771118,96
"18",18,46.26062,9.73915,794.699993133545,769.999996185303,731.099996566772,2295.79998588562,93.9000015258789
"19",19,47.08669,12.72356,1767.80001831055,1678.1000213623,1617.40001869202,5063.30005836487,154
